 "mw" , "g" , "gl" ,
 "http://purl.bdrc.io/resource/MW16088" , "http://purl.bdrc.io/resource/G2CN10836" , "'bras spungs dga' ldan pho brang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW19615" , "http://purl.bdrc.io/resource/G2CN10889" , "gra nang rgyal gling tshogs pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW27491" , "http://purl.bdrc.io/resource/G3JT12584" , "bum thang thar pa gling gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2GS1315" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2CZ7900" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG8833" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG10772" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2GS1316" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW30173" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW2KG208145" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG1645" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW4CZ10400" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW6113" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG1608" , "http://purl.bdrc.io/resource/G2CN10853" , "se ra smad grwa tshang gi par khang /" ,
 "http://purl.bdrc.io/resource/MW1NLM1473" , "http://purl.bdrc.io/resource/G1KG21972" , "dga' ldan par khang /" ,
 "http://purl.bdrc.io/resource/MW1KG9078" , "http://purl.bdrc.io/resource/G1KG21972" , "dga' ldan par khang /" ,
 "http://purl.bdrc.io/resource/MW23468" , "http://purl.bdrc.io/resource/G3JT12554" , "rdzong sar dgon pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW21807" , "http://purl.bdrc.io/resource/G3JT12554" , "rdzong sar dgon pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW5062" , "http://purl.bdrc.io/resource/G3JT12554" , "rdzong sar dgon pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW22132" , "http://purl.bdrc.io/resource/G3JT12554" , "rdzong sar dgon pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW23190" , "http://purl.bdrc.io/resource/G3JT12554" , "rdzong sar dgon pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW27513" , "http://purl.bdrc.io/resource/G3JT12554" , "rdzong sar dgon pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW30136" , "http://purl.bdrc.io/resource/G3JT12554" , "rdzong sar dgon pa'i par khang /" ,
 "http://purl.bdrc.io/resource/MW3CN3357" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
 "http://purl.bdrc.io/resource/MW22704" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
 "http://purl.bdrc.io/resource/MW22703" , "http://purl.bdrc.io/resource/G2CN10912" , "snar thang par khang /" ,
