 "mw" , "pub" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002725" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002380" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003067" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002563" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001456" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003103" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001768" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003063" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002244" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001491" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001588" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002681" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002961" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001980" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001749" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001652" , "gsal kha med/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGB000034" , "'jam dbyangs bzod pa/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002015" , "dpal brtsegs bod yig dpe rnying zhib 'jug khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGB000021" , "bod kyi sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW4PD1213" , "rdzogs chen shrI seng /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002579" , "ye shes sde/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002071" , "btsan byol bod gzhung nas/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002005" , "mtsho sngon mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001785" , "mtsho sngon mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003294" , "mtsho sngon mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003298" , "mtsho sngon mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003320" , "mtsho sngon mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003299" , "mtsho sngon mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGB000029" , "a myes rma chen bod kyi rig gzhung zhib 'jug khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGB000054" , "bag gro/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGB000031" , "bod kyi 'gro ba mi'i thob thang dang mang gtso 'phel rgyas lte gnas khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003198" , "krung go bod brgyud mtho rim nang bstan slob gling gi slob gzhi rtsom sgrig tshogs chung /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001982" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001096" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002049" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000224" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000210" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002033" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002059" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000207" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002172" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002038" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002018" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002028" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003300" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002166" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002429" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001330" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001086" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002010" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001105" , "mi rigs dpe skrun khang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000221" , "mi rigs dpe skrun khang /" ,
