 "mw" , "pub" ,
 "http://purl.bdrc.io/resource/MW11840" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14090" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14086" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14082" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11841" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14096" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14083" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14089" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14087" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11837" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14088" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14084" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW11836" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14093" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14085" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14091" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW14094" , "don 'grub rdo rje/" ,
 "http://purl.bdrc.io/resource/MW22149" , "blo bzang rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000406" , "dngos grub bsod nams/" ,
 "http://purl.bdrc.io/resource/MW3CN412" , "bsod nams rab brtan/" ,
 "http://purl.bdrc.io/resource/MW8LS67572" , "bsod nams rdo rje/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000403" , "K.Lhundup" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000534" , "sku sger yig tshang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000533" , "sku sger yig tshang /" ,
 "http://purl.bdrc.io/resource/MW22095" , "sku sger yig tshang /" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000844" , "rnga ba chos grags/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000845" , "rnga ba chos grags/" ,
 "http://purl.bdrc.io/resource/MW00KG08368" , "ye shes phun tshogs/" ,
 "http://purl.bdrc.io/resource/MW1KG14797" , "blo bzang bstan dar/" ,
 "http://purl.bdrc.io/resource/MW1KG21091" , "tsewang dorjee" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA000200" , "tshe ring bsam grub/" ,
 "http://purl.bdrc.io/resource/MW1KG12958" , "lhun grub bstan 'dzin/" ,
 "http://purl.bdrc.io/resource/MW8LS18210" , "ye shes rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1KG3871" , "brtson 'grus rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW29279" , "tshe ring rgyal mtshan/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001478" , "The Corporate Body of the Buddha Educational Foudation" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA003043" , "The Corporate Body of the Buddha Educational Foudation" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA001556" , "The Corporate Body of the Buddha Educational Foudation" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002191" , "tshe dbang phun tshogs/" ,
 "http://purl.bdrc.io/resource/MW1KG23617" , "g.yu sgang 'od zer/" ,
 "http://purl.bdrc.io/resource/MW1KG22084" , "kun dga' tshul khrims rgya mtsho/" ,
 "http://purl.bdrc.io/resource/MW1TLMTGA002257" , "gangs sul gyi rol dbyangs rtsom sgrig khang /" ,
 "http://purl.bdrc.io/resource/MW1KG22207" , "bod gzhung sman rtsis khang /" ,
 "http://purl.bdrc.io/resource/MW3CN15701" , "bod gzhung sman rtsis khang /" ,
