location_orig,location_new,name_orig,name_new,uri
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL9202
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL5450
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL9337
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL2659
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3623
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3723
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL175
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL9599
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL9333
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL7287
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL7460
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL8690
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL5519
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3722
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL2582
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL1459
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL1326
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL6863
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL5283
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL5739
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL10509
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL8337
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL10112
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL8058
"Nonthaburi, Thailand","Nonthaburi, Thailand",Fragile Palm Leaves Foundation,Fragile Palm Leaves Foundation,http://purl.bdrc.io/resource/W1FPL3880
