location_orig,location_new,name_orig,name_new,url
new delhi,Delhi,ngawang topgye,ngawang topgye,https://www.tbrc.org/#!rid=W29514
new delhi,Delhi,pal-lden sakya'i-sung-rab book publishers,pal-lden sakya'i-sung-rab book publishers,https://www.tbrc.org/#!rid=W8473
new delhi,Delhi,tshering dargye,tshering dargye,https://www.tbrc.org/#!rid=W1KG10057
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W19692
new delhi,Delhi,sharada rani,sharada rani,https://www.tbrc.org/#!rid=W30155
new delhi,Delhi,ngawang topgye,ngawang topgye,https://www.tbrc.org/#!rid=W14669
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W30154
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W00KG0624
new delhi,Delhi,mongolian lama gurudeva,mongolian lama gurudeva,https://www.tbrc.org/#!rid=W2CZ7855
new delhi,Delhi,ngawang topgay,ngawang topgay,https://www.tbrc.org/#!rid=W21296
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W23912
new delhi,Delhi,gedan sungrab minyam gyunphel,gedan sungrab minyam gyunphel,https://www.tbrc.org/#!rid=W4CZ2732
new delhi,Delhi,sanje dorji,sanje dorji,https://www.tbrc.org/#!rid=W21018
new delhi,Delhi,lama guru deva,lama guru deva,https://www.tbrc.org/#!rid=W1KG9561
new delhi,Delhi,t.g. dhongthog rimpoche,t.g. dhongthog rimpoche,https://www.tbrc.org/#!rid=W24034
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W1KG8721
new delhi,Delhi,t. g. dhongthog rimpoche,t. g. dhongthog rimpoche,https://www.tbrc.org/#!rid=W1KG4186
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W19341
new delhi,Delhi,"sidhartha's intent, yashodhara publications","sidhartha's intent, yashodhara publications",https://www.tbrc.org/#!rid=W23925
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W986
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W22106
new delhi,Delhi,t. tsepal taikhang,t. tsepal taikhang,https://www.tbrc.org/#!rid=W30165
new delhi,Delhi,t.g. dhongthog,t.g. dhongthog,https://www.tbrc.org/#!rid=W22134
new delhi,Delhi,ngawang tobgye,ngawang tobgye,https://www.tbrc.org/#!rid=W1KG11750
new delhi,Delhi,t. g. dhongthog rinpoche,t. g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W20479
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W1KG892
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W30539
new delhi,Delhi,international academy of indian culture,international academy of indian culture,https://www.tbrc.org/#!rid=W30451
new delhi,Delhi,sanje dorje,sanje dorje,https://www.tbrc.org/#!rid=W30323
new delhi,Delhi,the western tibetan cultural association,the western tibetan cultural association,https://www.tbrc.org/#!rid=W1KG14410
new delhi,Delhi,shechen publications,shechen publications,https://www.tbrc.org/#!rid=W23607
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W23865
new delhi,Delhi,samdrup tshering,samdrup tshering,https://www.tbrc.org/#!rid=W23728
new delhi,Delhi,samdrup tshering,samdrup tshering,https://www.tbrc.org/#!rid=W23729
new delhi,Delhi,yashodhara publications,yashodhara publications,https://www.tbrc.org/#!rid=W1KG2169
new delhi,Delhi,delhi karmapae chodhey gyalwae sungrab partun khang,delhi karmapae chodhey gyalwae sungrab partun khang,https://www.tbrc.org/#!rid=W1KG5151
new delhi,Delhi,international academy of india culture,international academy of india culture,https://www.tbrc.org/#!rid=W1KG21721
new delhi,Delhi,ngawang sopa,ngawang sopa,https://www.tbrc.org/#!rid=W1367
new delhi,Delhi,[ngawang topgay],[ngawang topgay],https://www.tbrc.org/#!rid=W1KG9606
new delhi,Delhi,ngawang gelek demo,ngawang gelek demo,https://www.tbrc.org/#!rid=W15960
new delhi,Delhi,t. tsepal taikhang,t. tsepal taikhang,https://www.tbrc.org/#!rid=W30116
new delhi,Delhi,karmapa international buddhist institute,karmapa international buddhist institute,https://www.tbrc.org/#!rid=W10431
new delhi,Delhi,t.g. dhongthog rinpoche,t.g. dhongthog rinpoche,https://www.tbrc.org/#!rid=W1KG12537
new delhi,Delhi,mongolian lama guru deva,mongolian lama guru deva,https://www.tbrc.org/#!rid=W2CZ8043
