Dêngqên	steng chen	丁青	Dingqing
Dêngqên	steng chen	丁青	Dingqing
Dêqên	bde chen	德庆	Deqing
Dêqên	bde chen	德庆	Deqing
Dêqên	bde chen	德庆	Deqing
Dêrdoin	gter ston	德登	Dedeng
Dêrog	sde rog	德汝	Deru
Dêsar	sde gsar	德莎	Desha
Deubo	de'u po	德保	Debao
Dêxing	bde zhing	德兴	Dexing
Dêxing	bde zhing	地新	Dixin
Dingchog	sdings khrog	定昌	Dingchang
Dinggo	sding sgo	丁固	Dinggu
Dinggyê	gding skyes	定结	Dingjie
Dinggyê	gding skyes	定结	Dingjie
Dingtang	sdings thang	丁塘	Dingtang
Dingzê	gting rtse	丁则	Dingze
Diyag	ti yag	底雅	Diya
Dobbar	stobs 'bar	东坝	Dongba
Dobê	mdo spe	多白	Duobai
Dobqên	stobs chen	多青	Duoqing
Doilungdêqên	stod lung bde chen	堆龙德庆	Duilongdeqing
Doisig	stod gzigs	堆随	Duisui
Doiyoi	stod yod	多游	Duoyou
Dojie	rdo rje	多吉	Duoji
Dokar	mdo mkhar	洞嘎	Dongga
Dola	rdo la	多拉	Duola
Domar	rdo dmar	多玛	Duoma
Domar	rdo dmar	多玛	Duoma
Dongba	mdong pa	东巴	Dongba
Dongba	gdong pa	冻巴	Dongba
Dongbo	gdong po	东波	Dongbo
Dongco	stong mtsho	洞措	Dongcuo
Donggar	gdong dkar	东嘎	Dongga
Donggar	gdong dkar	东嘎	Dongga
Dongjug	stong mjug	东久	Dongjiu
Dongkar	gdong mkhar	东嘎	Dongga
Dongngoin	gdong sngon	洞鄂	Donger
Dongpu	gdong phu	同普	Tongpu
Dongxê	stong she	东喜	Dongxi
Dopochang	rdo pho brang	多颇章	Duopozhang
Doqoi	mdo mchod	多角	Duojiao
Doqoi	mdo chos	多却	Duoque
Doyü	mdo yul	斗玉	Douyu
Dozê	mdo rtse	多孜	Duozi
Dozhag	rdo brag	多布扎	Duobuzha
Düjung	'dus b'ung	杜琼	Duqiong
Dumma	duH ma	毒玛	Duma
Dur	sdur	杜鲁	Dulu
Êma	ye ma	艾玛	Aima
Gabug	sga sbug	嘎普	Gapu
Gadain	dga' ldan	甘德	Gande
Gadong	sga gdong	嘎东	Gadong
Gagka	'gag kha	岗卡	Gangka
Gagla	bkag la	嘎拉	Gala
Gala	ka la	嘎拉	Gala
Gama	ka rma	嘎马	Gama
Gamtog	skam thog	岗托	Gangtuo
Ganang	dga' nang	嘎朗	Galang
Gandaingqonkor	dga' ldan chos 'khor	甘单曲果	Gandanquguo
Gangda	rkang mda'	岗色	Gangse
Gangga	sgang dga'	岗嘎	Gangga
Ganggar	gangs dkar	贡嘎	Gongga
Gangnyi	rkang gnyis	岗尼	Gangni
Gangri	sgang ri	贡日	Gongri
Gangyu	gangs g.yu	岗龙	Ganglong
Gar	sgar	噶尔	Ge'er
Garbo	dkar po	嘎波	Gapuo
Garco	dkar mtsho	嘎措	Gacuo
Gardo	mgar mdo	昂多	Angduo
Garmai	sgar smad	嘎美	Gamei
Garmo	dkar mo	嘎木	Gamu
Gartog	sgar thog	呷托	Yatuo
Garzhongsarba	sgar grong gsar ba	嘎尔新	Gaerxin
Gazha	sga 'dra	甘扎	Ganzha
Gêding	dge sdengs	吉定	Jiding
Gêgar	sked dkar	结克	Jieke
Gê'gyai	dge rgyas	革吉	Geji
Gêju	dge bcu	古局	Guju
Gêla	sked la	吉拉	Jila
Gêrdê	sger sde	嘎尔德	Gaerde
Gêrong	ke rong	格龙	Gelong
Gêrru	sger ru	吉汝	Jiru
Gêrsum	sger gsum	吉松	Jisong
Gêrzê	sger rtse	改则	Gaize
Gobdü	sgo bsdus	古堆	Gudui
Gogkar	sgog mkhar	广嘎	Guangga
Goibo	rgod po	戈波	Gebo
