 "placeid" , "placename" ,
 "http://purl.bdrc.io/resource/G3157" , "sga gdong dgon/" ,
 "http://purl.bdrc.io/resource/G3157" , "pa snam dga' ldan dar rgyas gling /" ,
 "http://purl.bdrc.io/resource/G3157" , "dga' sdong mtshan sgrogs dga' ldan dar rgyas gling /" ,
 "http://purl.bdrc.io/resource/G14" , "smin grol gling /" ,
 "http://purl.bdrc.io/resource/G14" , "Mindroling" ,
 "http://purl.bdrc.io/resource/G14" , 敏珠林寺 ,
 "http://purl.bdrc.io/resource/G14" , "o rgyan smin grol gling /" ,
 "http://purl.bdrc.io/resource/G14" , "'og min o rgyan smin grol gling /" ,
 "http://purl.bdrc.io/resource/G14" , "minzhulin si" ,
 "http://purl.bdrc.io/resource/G14" , 敏卓林寺 ,
 "http://purl.bdrc.io/resource/G14" , "minzhuolin si" ,
 "http://purl.bdrc.io/resource/G2333" , 松潘县 ,
 "http://purl.bdrc.io/resource/G2333" , "zung chu rdzong" ,
 "http://purl.bdrc.io/resource/G2333" , "shar khog" ,
 "http://purl.bdrc.io/resource/G2333" , "zing chu rdzong" ,
 "http://purl.bdrc.io/resource/G2333" , "songpan xian" ,
 "http://purl.bdrc.io/resource/G491" , "'dzin stag mo dgon/" ,
 "http://purl.bdrc.io/resource/G491" , "takmogang kelzang puntsok ling" ,
 "http://purl.bdrc.io/resource/G491" , "skal bzang phun tshogs gling" ,
 "http://purl.bdrc.io/resource/G491" , "stag mo sgang sgrub gnas/" ,
 "http://purl.bdrc.io/resource/G491" , "shar stag mo sgang skal bzang phun tshogs gling" ,
 "http://purl.bdrc.io/resource/G280" , "Gyal lhakang" ,
 "http://purl.bdrc.io/resource/G280" , 杰堆寺 ,
 "http://purl.bdrc.io/resource/G280" , "rgyal lha khang" ,
 "http://purl.bdrc.io/resource/G280" , "jiedui si" ,
 "http://purl.bdrc.io/resource/G280" , "jie lakang" ,
 "http://purl.bdrc.io/resource/G280" , 杰拉康 ,
 "http://purl.bdrc.io/resource/G349" , "lho brag thig phyi/" ,
 "http://purl.bdrc.io/resource/G349" , "thig phyi (lho brag)" ,
 "http://purl.bdrc.io/resource/G4184" , "Tikchi Gonpa" ,
 "http://purl.bdrc.io/resource/G4184" , "thig phyi dgon/" ,
 "http://purl.bdrc.io/resource/G4184" , 帝齐寺 ,
 "http://purl.bdrc.io/resource/G4184" , "phyag rdor lha khang" ,
 "http://purl.bdrc.io/resource/G4184" , "ban pa thig phyi/" ,
 "http://purl.bdrc.io/resource/G4184" , "diqi si" ,
 "http://purl.bdrc.io/resource/G4184" , "lho brag thig phyi/" ,
 "http://purl.bdrc.io/resource/G4181" , "gtam shul tsher ma lung" ,
 "http://purl.bdrc.io/resource/G4181" , "tsher ma lung (gtam shul)" ,
 "http://purl.bdrc.io/resource/G4188" , "sgro ba dgon pa/" ,
 "http://purl.bdrc.io/resource/G4188" , "lho brag sgro ba dgon pa/" ,
 "http://purl.bdrc.io/resource/G3470" , "gnyal gra 'or/" ,
 "http://purl.bdrc.io/resource/G3470" , "gra 'or dgon" ,
 "http://purl.bdrc.io/resource/G523" , 白玉寺 ,
 "http://purl.bdrc.io/resource/G523" , "dar thang dgon/" ,
 "http://purl.bdrc.io/resource/G523" , "dpal yul dar thang mdo sngags bshad sgrub gling" ,
 "http://purl.bdrc.io/resource/G523" , "dar thang dgon/" ,
 "http://purl.bdrc.io/resource/G523" , "baiyu si" ,
 "http://purl.bdrc.io/resource/G523" , 白玉达唐寺 ,
 "http://purl.bdrc.io/resource/G523" , "dpal yul dar thang dgon/" ,
 "http://purl.bdrc.io/resource/G210" , "Sakya" ,
 "http://purl.bdrc.io/resource/G210" , "sa skya/" ,
 "http://purl.bdrc.io/resource/G210" , "sa skya khul/" ,
 "http://purl.bdrc.io/resource/G4445" , "sgrol ma pho brang" ,
 "http://purl.bdrc.io/resource/G4445" , "sa skya sgrol ma pho brang" ,
 "http://purl.bdrc.io/resource/G880" , "sa skya dgon pa/" ,
 "http://purl.bdrc.io/resource/G880" , 萨迦寺 ,
 "http://purl.bdrc.io/resource/G880" , "Sakya monastery" ,
 "http://purl.bdrc.io/resource/G880" , "sajia si" ,
 "http://purl.bdrc.io/resource/G880" , "sa skya dgon chen/" ,
 "http://purl.bdrc.io/resource/G67" , 达隆寺 ,
 "http://purl.bdrc.io/resource/G67" , "stag lung dgon chen/" ,
 "http://purl.bdrc.io/resource/G67" , "Taklung Gonchen" ,
 "http://purl.bdrc.io/resource/G67" , 达龙寺 ,
 "http://purl.bdrc.io/resource/G67" , "byang stag lung" ,
 "http://purl.bdrc.io/resource/G67" , "dalong si" ,
 "http://purl.bdrc.io/resource/G67" , "byang stag lung chos grwa/" ,
 "http://purl.bdrc.io/resource/G67" , "stag lung ya thang" ,
 "http://purl.bdrc.io/resource/G1258" , "bong ra stengs/" ,
 "http://purl.bdrc.io/resource/G1258" , "g.yang shod bong ra stengs/" ,
 "http://purl.bdrc.io/resource/G3804" , "skyid legs dgon pa/" ,
 "http://purl.bdrc.io/resource/G3804" , "rgya gar dgon pa (sngar ming)" ,
